Date : 2025-05-14 23:14:27
Directory : d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts
Total : 194 files,  9044 codes, 1220 comments, 1757 blanks, all 12021 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        186 |      8,936 |      1,220 |      1,705 |     11,861 |
| Markdown |          8 |        108 |          0 |         52 |        160 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        194 |      9,044 |      1,220 |      1,757 |     12,021 |
| Architecture                                                                                                                       |         28 |      2,187 |        225 |        387 |      2,799 |
| Architecture (Files)                                                                                                               |          1 |         33 |         17 |          7 |         57 |
| Architecture\Commands                                                                                                              |          2 |         93 |         16 |         12 |        121 |
| Architecture\Events                                                                                                                |          1 |         98 |          5 |         22 |        125 |
| Architecture\Managers                                                                                                              |          4 |        323 |         14 |         60 |        397 |
| Architecture\Models                                                                                                                |          2 |        153 |         26 |         44 |        223 |
| Architecture\Systems                                                                                                               |         18 |      1,487 |        147 |        242 |      1,876 |
| Architecture\Systems\InGame                                                                                                        |          3 |        161 |          8 |         28 |        197 |
| Architecture\Systems\InLevel                                                                                                       |         10 |        782 |         80 |        137 |        999 |
| Architecture\Systems\InLevel (Files)                                                                                               |          9 |        716 |         72 |        128 |        916 |
| Architecture\Systems\InLevel\Classes                                                                                               |          1 |         66 |          8 |          9 |         83 |
| Architecture\Systems\Interfaces                                                                                                    |          1 |          6 |          1 |          1 |          8 |
| Architecture\Systems\PhaseSystems                                                                                                  |          4 |        538 |         58 |         76 |        672 |
| Core                                                                                                                               |         16 |      1,290 |        341 |        224 |      1,855 |
| Core (Files)                                                                                                                       |          4 |        314 |         58 |         52 |        424 |
| Core\Extensions                                                                                                                    |          2 |        127 |         42 |         24 |        193 |
| Core\PriorityQueue                                                                                                                 |          4 |        473 |        161 |         63 |        697 |
| Core\Random                                                                                                                        |          2 |        177 |         57 |         42 |        276 |
| Core\Save                                                                                                                          |          4 |        199 |         23 |         43 |        265 |
| Core\Save (Files)                                                                                                                  |          3 |        133 |          8 |         26 |        167 |
| Core\Save\Modules                                                                                                                  |          1 |         66 |         15 |         17 |         98 |
| Documents                                                                                                                          |          7 |        102 |          0 |         47 |        149 |
| Documents (Files)                                                                                                                  |          4 |         66 |          0 |         26 |         92 |
| Documents\Untitled Folder                                                                                                          |          3 |         36 |          0 |         21 |         57 |
| Gameplay                                                                                                                           |        128 |      4,835 |        630 |        949 |      6,414 |
| Gameplay\Class                                                                                                                     |         38 |      2,253 |        443 |        478 |      3,174 |
| Gameplay\Class (Files)                                                                                                             |          4 |        227 |         15 |         51 |        293 |
| Gameplay\Class\Games                                                                                                               |          1 |         54 |          1 |         20 |         75 |
| Gameplay\Class\Items                                                                                                               |          3 |        142 |          7 |         29 |        178 |
| Gameplay\Class\Levels                                                                                                              |          5 |        215 |          4 |         28 |        247 |
| Gameplay\Class\Levels (Files)                                                                                                      |          4 |        125 |          4 |         15 |        144 |
| Gameplay\Class\Levels\Levels                                                                                                       |          1 |         90 |          0 |         13 |        103 |
| Gameplay\Class\Levels\Levels\DaveLawn                                                                                              |          1 |         90 |          0 |         13 |        103 |
| Gameplay\Class\MazeMap                                                                                                             |          8 |        596 |        195 |        113 |        904 |
| Gameplay\Class\MazeMap (Files)                                                                                                     |          1 |         23 |          1 |          1 |         25 |
| Gameplay\Class\MazeMap\Core                                                                                                        |          6 |        498 |        189 |        102 |        789 |
| Gameplay\Class\MazeMap\MazeMaps                                                                                                    |          1 |         75 |          5 |         10 |         90 |
| Gameplay\Class\Tags                                                                                                                |          2 |         41 |          0 |         11 |         52 |
| Gameplay\Class\ZombieAI                                                                                                            |         15 |        978 |        221 |        226 |      1,425 |
| Gameplay\Class\ZombieAI\New                                                                                                        |         15 |        978 |        221 |        226 |      1,425 |
| Gameplay\Class\ZombieAI\New\Class                                                                                                  |          7 |        281 |         36 |         62 |        379 |
| Gameplay\Class\ZombieAI\New\PathFinding                                                                                            |          5 |        588 |        107 |        127 |        822 |
| Gameplay\Class\ZombieAI\New\Public                                                                                                 |          3 |        109 |         78 |         37 |        224 |
| Gameplay\Data                                                                                                                      |          5 |         75 |          2 |          8 |         85 |
| Gameplay\Entities                                                                                                                  |         54 |      1,418 |         99 |        270 |      1,787 |
| Gameplay\Entities (Files)                                                                                                          |          3 |        126 |          9 |         30 |        165 |
| Gameplay\Entities\Classes                                                                                                          |          5 |        104 |         15 |         23 |        142 |
| Gameplay\Entities\Classes\Effects                                                                                                  |          5 |        104 |         15 |         23 |        142 |
| Gameplay\Entities\Classes\Effects (Files)                                                                                          |          3 |         86 |          9 |         18 |        113 |
| Gameplay\Entities\Classes\Effects\Interfaces                                                                                       |          2 |         18 |          6 |          5 |         29 |
| Gameplay\Entities\Plants                                                                                                           |         25 |        616 |         35 |         99 |        750 |
| Gameplay\Entities\Plants (Files)                                                                                                   |         22 |        443 |         18 |         68 |        529 |
| Gameplay\Entities\Plants\Base                                                                                                      |          3 |        173 |         17 |         31 |        221 |
| Gameplay\Entities\Projectiles                                                                                                      |          9 |        250 |         12 |         52 |        314 |
| Gameplay\Entities\Zombies                                                                                                          |         12 |        322 |         28 |         66 |        416 |
| Gameplay\Entities\Zombies (Files)                                                                                                  |          8 |         63 |          4 |         20 |         87 |
| Gameplay\Entities\Zombies\Base                                                                                                     |          2 |        234 |         23 |         39 |        296 |
| Gameplay\Entities\Zombies\ViewControllers                                                                                          |          2 |         25 |          1 |          7 |         33 |
| Gameplay\ViewControllers                                                                                                           |         31 |      1,089 |         86 |        193 |      1,368 |
| Gameplay\ViewControllers\AutoInteractBase                                                                                          |          5 |        128 |          5 |         22 |        155 |
| Gameplay\ViewControllers\InLevel                                                                                                   |          6 |        279 |         28 |         54 |        361 |
| Gameplay\ViewControllers\InMazeMap                                                                                                 |          5 |        203 |         19 |         27 |        249 |
| Gameplay\ViewControllers\InMazeMap (Files)                                                                                         |          3 |        119 |         14 |         12 |        145 |
| Gameplay\ViewControllers\InMazeMap\PopInfo                                                                                         |          2 |         84 |          5 |         15 |        104 |
