Date : 2025-05-14 23:14:27
Directory : d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts
Total : 99 files,  2342 codes, 433 comments, 480 blanks, all 3255 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         97 |      2,313 |        433 |        467 |      3,213 |
| Markdown |          2 |         29 |          0 |         13 |         42 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         99 |      2,342 |        433 |        480 |      3,255 |
| Architecture                                                                                                                       |         12 |         73 |          6 |         12 |         91 |
| Architecture (Files)                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| Architecture\Commands                                                                                                              |          1 |         -1 |          0 |          0 |         -1 |
| Architecture\Managers                                                                                                              |          1 |        -27 |          0 |         -4 |        -31 |
| Architecture\Models                                                                                                                |          2 |         11 |          1 |          4 |         16 |
| Architecture\Systems                                                                                                               |          7 |         89 |          5 |         12 |        106 |
| Architecture\Systems\InGame                                                                                                        |          1 |         -5 |          0 |          0 |         -5 |
| Architecture\Systems\InLevel                                                                                                       |          4 |         78 |          6 |          8 |         92 |
| Architecture\Systems\PhaseSystems                                                                                                  |          2 |         16 |         -1 |          4 |         19 |
| Core                                                                                                                               |          7 |        526 |        168 |         84 |        778 |
| Core (Files)                                                                                                                       |          3 |         53 |          7 |         21 |         81 |
| Core\PriorityQueue                                                                                                                 |          4 |        473 |        161 |         63 |        697 |
| Documents                                                                                                                          |          2 |         29 |          0 |         13 |         42 |
| Gameplay                                                                                                                           |         76 |      1,715 |        259 |        370 |      2,344 |
| Gameplay\Class                                                                                                                     |         21 |      1,112 |        233 |        259 |      1,604 |
| Gameplay\Class (Files)                                                                                                             |          2 |         74 |         12 |         21 |        107 |
| Gameplay\Class\Items                                                                                                               |          1 |         18 |          0 |          1 |         19 |
| Gameplay\Class\Levels                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| Gameplay\Class\Tags                                                                                                                |          2 |         41 |          0 |         11 |         52 |
| Gameplay\Class\ZombieAI                                                                                                            |         15 |        978 |        221 |        226 |      1,425 |
| Gameplay\Class\ZombieAI\New                                                                                                        |         15 |        978 |        221 |        226 |      1,425 |
| Gameplay\Class\ZombieAI\New\Class                                                                                                  |          7 |        281 |         36 |         62 |        379 |
| Gameplay\Class\ZombieAI\New\PathFinding                                                                                            |          5 |        588 |        107 |        127 |        822 |
| Gameplay\Class\ZombieAI\New\Public                                                                                                 |          3 |        109 |         78 |         37 |        224 |
| Gameplay\Data                                                                                                                      |          3 |          4 |          0 |          0 |          4 |
| Gameplay\Entities                                                                                                                  |         47 |        607 |         26 |        121 |        754 |
| Gameplay\Entities (Files)                                                                                                          |          3 |         24 |          4 |          8 |         36 |
| Gameplay\Entities\Classes                                                                                                          |          5 |        104 |         15 |         23 |        142 |
| Gameplay\Entities\Classes\Effects                                                                                                  |          5 |        104 |         15 |         23 |        142 |
| Gameplay\Entities\Classes\Effects (Files)                                                                                          |          3 |         86 |          9 |         18 |        113 |
| Gameplay\Entities\Classes\Effects\Interfaces                                                                                       |          2 |         18 |          6 |          5 |         29 |
| Gameplay\Entities\Plants                                                                                                           |         19 |        284 |          2 |         42 |        328 |
| Gameplay\Entities\Plants (Files)                                                                                                   |         16 |        247 |          5 |         33 |        285 |
| Gameplay\Entities\Plants\Base                                                                                                      |          3 |         37 |         -3 |          9 |         43 |
| Gameplay\Entities\Projectiles                                                                                                      |          9 |        153 |          8 |         30 |        191 |
| Gameplay\Entities\Zombies                                                                                                          |         11 |         42 |         -3 |         18 |         57 |
| Gameplay\Entities\Zombies (Files)                                                                                                  |          7 |       -217 |        -27 |        -28 |       -272 |
| Gameplay\Entities\Zombies\Base                                                                                                     |          2 |        234 |         23 |         39 |        296 |
| Gameplay\Entities\Zombies\ViewControllers                                                                                          |          2 |         25 |          1 |          7 |         33 |
| Gameplay\ViewControllers                                                                                                           |          5 |         -8 |          0 |        -10 |        -18 |
| Gameplay\ViewControllers\InLevel                                                                                                   |          3 |        -11 |          2 |         -9 |        -18 |
| Gameplay\ViewControllers\InMazeMap                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| Gameplay\ViewControllers\InMazeMap\PopInfo                                                                                         |          1 |          1 |          0 |          0 |          1 |
| Gameplay\ViewControllers\ZombieArmor                                                                                               |          1 |          2 |         -2 |         -1 |         -1 |
| Gameplay\ViewControllers\ZombieArmor\Base                                                                                          |          1 |          2 |         -2 |         -1 |         -1 |
| Test                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| UI                                                                                                                                 |          1 |         -1 |          0 |          0 |         -1 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                           | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Commands\PhaseChangeCommands.cs                           | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Managers\ReferenceModel.cs                                | C#       |        -27 |          0 |         -4 |        -31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Models\GameModel.cs                                       | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Models\LevelModel.cs                                      | C#       |         12 |          1 |          4 |         17 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\PVZRouge.cs                                               | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\InGame\InventorySystem.cs                         | C#       |         -5 |          0 |          0 |         -5 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\InLevel\EntitySystem.cs                           | C#       |         15 |          0 |          0 |         15 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\InLevel\EntitySystem.interface.cs                 | C#       |         16 |          0 |          2 |         18 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\InLevel\HandSystem.cs                             | C#       |          8 |          6 |          1 |         15 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\InLevel\ZombieAISystem.cs                         | C#       |         39 |          0 |          5 |         44 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\PhaseSystems\GamePhaseSystem.cs                   | C#       |          1 |          0 |         -1 |          0 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Architecture\Systems\PhaseSystems\LevelSystem.cs                       | C#       |         15 |         -1 |          5 |         19 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\Enums.cs                                                          | C#       |         12 |          0 |          3 |         15 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\Matrix.cs                                                         | C#       |         28 |          7 |         17 |         52 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\PriorityQueue\FastPriorityQueue.cs                                | C#       |        438 |        106 |         48 |        592 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\PriorityQueue\FastPriorityQueueNode.cs                            | C#       |         11 |         10 |          3 |         24 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\PriorityQueue\IFixedSizePriorityQueue.cs                          | C#       |          9 |         15 |          3 |         27 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\PriorityQueue\IPriorityQueue.cs                                   | C#       |         15 |         30 |          9 |         54 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Core\TilemapGroup.cs                                                   | C#       |         13 |          0 |          1 |         14 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Documents\SortingLayers.md                                             | Markdown |          9 |          0 |          2 |         11 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Documents\寻路算法.md                                                      | Markdown |         20 |          0 |         11 |         31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Attack.cs                                               | C#       |         38 |         12 |         12 |         62 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Cell.cs                                                 | C#       |         36 |          0 |          9 |         45 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Items\CardHelper.cs                                     | C#       |         18 |          0 |          1 |         19 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Levels\Enums.cs                                         | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Tags\Tag.cs                                             | C#       |          7 |          0 |          0 |          7 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Class\Tags\TagGroup.cs                                        | C#       |         34 |          0 |         11 |         45 |
